,blue1,blue2,bluescore,red1,red2,redscore
190,2941B,9098F,19,2915A,3204E,9
191,2915D,2921F,13,45964A,2950A,21
192,8757C,43580A,17,2941A,7031A,13
193,7757Z,2900B,8,47736R,9098E,23
194,5606A,88397S,27,97255A,2919S,5
195,4067A,2918G,15,2923A,2950B,15
196,2913C,2904A,12,2908E,2908V,11
197,2913B,70591A,6,240P,2900G,27
198,2903T,2921R,22,2918H,2919B,5
199,2908X,7682E,17,4067X,2941D,13
200,70591B,2903S,12,2915E,2900C,22
201,2913A,2941C,4,8757A,2918C,26
202,2900D,2923A,23,7757Z,2919S,11
203,2915B,2915G,5,9098F,2913C,14
204,4067A,5606B,8,8757C,97255A,21
205,2915D,47736R,16,8757B,2908V,13
206,2915F,2950B,9,240P,2923B,24
207,2921R,9098E,26,4067B,2908X,3
208,2915E,5606A,17,70591A,2915A,12
209,2918H,2900A,19,72721Y,8757A,14
210,71852C,71808H,5,71808Z,71808A,19
211,71825A,71852A,15,71852B,71825B,10
212,71852B,71825B,11,71808H,71825A,5
213,71808A,71808Z,15,71852A,71852C,7
214,71825A,71852A,14,71808A,71825B,7
215,71808Z,71852C,14,71808H,71852B,11
216,71852B,71852C,13,71825A,71852A,15
217,71808H,71808A,7,71825B,71808Z,23
218,1460K,70436D,18,20281B,70436E,8
219,278T,278E,20,278H,2990C,12
220,70436B,70436C,2,2990B,278X,24
221,97381A,1460K,9,2990G,27508B,27
222,278T,27508B,19,97381A,1460K,4
223,17907N,1737A,4,77100A,1737B,23
224,1737X,21748B,24,32857A,89886A,13
225,1737G,21748A,4,1737K,27769K,29
226,85933B,93133A,6,48040K,85933A,13
227,89886A,1737K,19,12591K,17907N,13
228,1737K,32857A,24,1737A,89886A,8
229,77100A,17907N,3,1737B,1737G,26
230,48040K,85933B,8,21748B,12591K,17
231,1737X,93133A,22,27769K,21748A,5
232,89886A,21748B,23,85933A,17907N,7
233,1737B,32857A,24,93133A,77100A,13
234,1737A,1737G,18,12591K,27769K,7
235,21748A,85933A,5,1737X,48040K,23
236,1737B,12591K,20,85933B,1737K,6
237,1737X,27769K,29,77100A,32857A,10
238,1737A,21748B,13,21748A,1737G,20
239,85933B,93133A,7,85933A,1737K,24
240,89886A,27769K,15,48040K,17907N,11
241,99402D,69414A,6,44433R,69414C,19
242,99402C,99402A,17,72442A,72442B,10
243,58201A,99402B,10,44433S,69414B,19
244,72442B,44433R,19,69414C,72442A,16
245,44433S,69414B,12,99402A,58201A,8
246,69414A,99402C,22,99402B,99402D,8
247,72442A,69414B,6,69414A,99402C,22
248,69414C,99402D,19,44433R,58201A,6
249,99402A,99402B,20,72442B,44433S,9
250,44433R,72442A,6,69414B,99402A,18
251,44433S,72442B,15,69414A,99402D,17
252,58201A,69414C,9,99402B,99402C,27
253,44433R,72442B,10,99402C,69414B,22
254,44433S,72442A,15,58201A,69414A,14
255,99402D,69414C,15,99402B,99402A,15
256,99402B,99402A,7,72442A,69414A,28
257,58201A,69414B,10,69414C,99402C,18
258,44433S,72442B,17,99402D,44433R,18
259,99402D,72442A,20,72442B,69414B,13
260,69414A,99402C,13,44433S,99402B,16
261,44433R,69414C,20,58201A,99402A,16
262,69414A,58201A,7,44433S,72442B,18
263,99402A,99402C,15,99402D,69414C,14
264,69414B,99402B,27,44433R,72442A,2
265,58201A,99402B,19,72442B,72442A,15
266,99402A,99402D,2,99402C,69414C,32
267,44433S,44433R,15,69414A,69414B,17
268,69414C,69414B,21,58201A,44433S,5
269,99402C,69414A,32,99402B,72442B,4
270,72442A,99402D,14,99402A,44433R,8
271,99402C,44433S,31,72442A,44433R,1
272,69414B,99402B,16,69414C,69414A,15
273,72442B,58201A,12,99402D,99402A,24
274,44433R,69414B,6,99402C,99402D,27
275,69414A,72442A,17,99402B,58201A,12
276,69414C,72442B,14,99402A,44433S,18
277,44433S,69414C,7,99402C,72442A,26
278,58201A,44433R,7,99402D,99402B,26
279,99402A,72442B,15,69414B,69414A,15
280,99402A,69414A,35,44433R,58201A,1
281,99402D,72442A,10,69414C,44433S,23
282,99402C,99402B,20,72442B,69414B,13
283,69414C,69414A,5,72442B,99402A,18
284,72442A,44433R,8,69414B,99402B,31
285,44433S,58201A,3,99402C,99402D,30
286,99402A,99402C,18,99402D,69414B,9
287,58201A,99402B,10,69414C,72442A,19
288,44433R,72442B,8,44433S,69414A,19
289,44433S,44433R,9,99402D,69414A,28
290,99402D,69414A,8,99402C,72442B,29
291,99402B,69414C,15,99402A,69414B,24
292,99402A,69414B,21,99402C,72442B,18
293,20570A,90601U,10,90601W,9580B,27
294,90601E,90601X,18,28967A,643Z,16
295,643T,90601F,5,9580C,20570B,20
296,643E,35080A,4,643A,643F,32
297,35080B,9580A,0,36272A,90601C,32
298,90601D,90601B,17,76436F,9225D,11
299,20570B,90601W,20,20570C,643A,18
300,9580B,35080B,19,643T,90601E,12
301,9580C,28967A,10,90601U,643E,22
302,20570C,76436F,8,90601X,9580A,20
303,36272A,20570A,4,35080A,90601B,22
304,90601C,643F,21,90601F,9225D,13
305,643E,643Z,23,90601D,35080B,9
306,9580A,20570B,15,9580C,20570A,8
307,9225D,90601E,24,20570C,90601U,11
308,643A,28967A,14,90601D,35080A,18
309,90601X,90601F,15,90601W,90601B,18
310,643F,643T,9,36272A,643Z,25
311,90601C,20570B,29,76436F,9580B,6
312,20570C,35080B,11,28967A,20570A,7
313,643A,643E,19,643T,9580A,9
314,35080A,90601W,9,90601F,90601E,18
315,36272A,9225D,13,9580B,90601X,19
316,643Z,90601U,18,90601C,90601B,14
317,90601D,76436F,9,643F,9580C,9
318,35080A,9225D,21,20570B,35080B,13
319,90601C,20570A,17,90601X,643E,17
320,9580C,36272A,14,90601E,643A,19
321,28967A,643T,4,90601W,76436F,21
322,90601D,90601F,24,9580A,90601U,10
323,90601B,9580B,21,643F,20570C,15
324,9580C,90601W,7,643Z,9225D,29
325,90601D,90601C,32,9580B,643F,0
326,90601W,9580A,12,90601B,9225D,19
327,90601X,643T,17,643Z,643E,22
328,90601E,90601U,20,20570B,643A,13
329,90601B,9225D,15,90601D,90601C,18
330,90601E,90601U,20,643Z,643E,15
331,90601E,90601U,9,90601D,90601C,20
332,6214M,6214P,11,6214K,6214E,8
333,6214M,6214P,4,6214Z,4112A,37
334,6214Y,41120Z,8,9906R,99248A,17
335,9311A,41120S,10,9266A,9266B,23
336,99248B,41120A,14,4112Z,41120M,16
337,9906R,99248A,3,6214Z,4112A,33
338,4112Z,41120M,15,9266A,9266B,15
339,4112Z,41120M,14,9266A,9266B,22
340,9266A,9266B,7,6214Z,4112A,30
341,4805X,2011F,19,98575D,44833B,10
342,3264A,6978J,6,6390X,45260B,17
343,45260A,98575C,4,6390K,6390W,20
344,3264D,98575A,24,44817A,96024E,10
345,3264E,6390Y,22,98575F,98575B,3
346,6390G,6978R,20,6390A,2011D,13
