,blue1,blue2,bluescore,red1,red2,redscore
28762,1188B,4478E,1,4478D,41364A,38
28763,4478C,9909C,8,4478X,375X,25
28764,8878E,5150J,10,195D,5150F,19
28765,1695A,1695D,6,4478V,162A,29
28766,4478D,41364A,9,195A,4478S,25
28767,195D,5150F,10,4478X,375X,25
28768,195A,4478S,16,4478V,162A,21
28769,4478V,162A,8,4478X,375X,24
28770,6568B,6751D,12,14A,84927D,11
28771,92315A,45784D,15,6096E,45784B,9
28772,5173G,6096S,9,45784E,14E,8
28773,1231A,14C,12,14B,45784C,11
28774,84927B,1231E,6,6751A,1481K,13
28775,1231B,1481B,13,92315C,1481C,9
28776,6751B,1481J,28,1481E,4061C,5
28777,1481A,1231F,17,1231D,5173Z,12
28778,14D,1481H,14,10600A,6568C,8
28779,6568A,6751E,20,92315B,6568D,0
28780,92315D,92315E,1,45784A,6096B,21
28781,99157B,1481F,20,84927E,84927C,5
28782,84927B,92315C,5,6751C,1231C,27
28783,45784E,14A,13,45784C,6751B,15
28784,14B,6096E,21,1481J,1481A,7
28785,84927D,45784D,14,1481B,5173G,6
28786,1231E,45784B,14,6568B,6096S,8
28787,10600A,99157B,11,92315E,92315A,6
28788,1481C,1481K,7,6096B,84927E,19
28789,45784A,92315B,14,14D,1231B,14
28790,5173Z,4061C,8,6751D,92315D,14
28791,6751C,6568D,5,1481F,14E,19
28792,1231D,6751A,20,1481H,1231A,10
28793,1481E,84927C,10,6751E,6568C,12
28794,1231C,14C,23,6568A,1231F,5
28795,6096S,1481J,8,1481B,45784A,17
28796,6096B,10600A,8,84927B,6096E,17
28797,1481K,6568D,17,1231B,5173Z,12
28798,92315E,4061C,8,6751A,6568B,18
28799,6568C,14A,19,1481C,5173G,7
28800,45784E,6751E,6,45784D,92315C,16
28801,6568A,1481A,4,1231E,6751B,32
28802,1481H,92315B,22,6751C,14C,6
28803,14B,6751D,11,99157B,1231F,6
28804,84927E,45784C,7,1231C,92315D,24
28805,84927D,1481F,2,1481E,1231D,35
28806,14E,92315A,7,84927C,14D,15
28807,1481J,1231B,9,45784B,1231A,13
28808,6751C,1481B,7,1481A,45784E,15
28809,6568C,6751D,11,1481K,92315B,9
28810,45784A,6096E,16,1481C,1231C,20
28811,5173Z,6751B,26,92315C,5173G,6
28812,14C,14A,18,92315A,6568D,8
28813,1231A,6568B,10,45784D,10600A,7
28814,6096B,6568A,17,1481H,4061C,12
28815,14D,1231D,16,6751E,6096S,10
28816,45784C,1231E,10,92315E,1481F,16
28817,14E,84927B,13,99157B,84927D,15
28818,1231F,6751A,26,1481E,84927E,5
28819,84927C,92315D,4,14B,45784B,20
28820,1231A,6568C,16,5173Z,6751C,12
28821,45784D,1231B,13,6096B,6751D,12
28822,1481F,1231C,19,1481B,14A,8
28823,6568B,6568D,11,45784A,45784C,10
28824,92315E,1231D,21,92315B,1481J,3
28825,14E,6751E,25,14C,92315D,4
28826,45784E,14B,9,1231E,84927D,22
28827,1481E,92315A,8,1481A,1481K,23
28828,84927C,6751B,24,10600A,6751A,9
28829,84927E,5173G,6,6096E,1481H,26
28830,1481C,45784B,13,4061C,1231F,16
28831,92315C,99157B,22,6096S,6568A,5
28832,14B,1481F,20,84927B,14D,5
28833,92315B,6096B,3,1231A,14A,21
28834,5173Z,45784E,8,6568B,14C,18
28835,84927D,6096E,22,92315E,6751E,8
28836,1231F,6751B,22,6568C,1231B,10
28837,92315C,1481A,12,4061C,84927E,9
28838,92315D,6751A,18,6568A,1481J,11
28839,1481H,1481K,23,45784B,1481B,8
28840,6096S,45784C,13,6751D,6751C,16
28841,14D,45784D,5,6568D,99157B,17
28842,1231C,1481E,21,14E,10600A,10
28843,5173G,45784A,18,84927B,92315A,7
28844,1231D,1481C,23,1231E,84927C,10
28845,6568D,1481E,1,1231C,6751B,33
28846,1481A,6096B,17,84927D,14C,6
28847,45784A,1481B,13,6751D,45784B,7
28848,1231B,1231E,20,99157B,1481F,8
28849,1481K,1481J,15,1231D,1231A,24
28850,6568B,45784C,9,6096E,1481H,18
28851,14D,6751E,2,6751A,6568C,21
28852,14B,14A,18,45784D,1231F,15
28853,1481A,6096B,10,1231C,6751B,29
28854,1231B,1231E,18,45784A,1481B,8
28855,6096E,1481H,7,1231D,1231A,22
28856,14B,14A,18,6751A,6568C,5
28857,1231B,1231E,8,1231C,6751B,22
28858,14B,14A,19,1231D,1231A,9
28859,14B,14A,9,1231C,6751B,20
28860,12E,80708X,20,6603X,6603E,10
28861,20164U,2068F,9,2068G,1575U,13
28862,12N,4061K,13,6603F,6603T,10
28863,154B,20109B,21,2068D,8450C,2
28864,20164Z,8086Y,15,12R,56736C,13
28865,4303C,4061A,24,20164T,2068C,4
28866,12G,20164X,21,4061B,8450A,12
28867,12P,1575H,8,2068A,8086X,29
28868,154D,154A,12,4303A,4303X,15
28869,12A,6603A,21,2068B,20109A,10
28870,1575B,4303E,21,12J,4303D,2
28871,6603H,1575A,5,4303B,20164W,18
28872,12G,8450C,4,1575V,6603D,23
28873,12R,2068G,9,4061A,6603F,15
28874,4303A,20164T,13,12E,20164X,23
28875,2068C,2068D,5,80708X,8086Y,24
28876,12J,8450A,4,12A,12N,22
28877,6603E,20164W,19,6603A,2068F,9
28878,20109A,56736C,29,6603D,1575A,4
28879,1575V,12P,25,1575B,154D,9
28880,6603T,1575U,10,1575H,6603X,12
28881,20164Z,4061B,1,154B,4061K,25
28882,2068A,4303D,14,2068B,4303B,15
28883,8086X,4303X,20,20164U,4303E,6
28884,20109B,6603H,4,4303C,154A,32
28885,6603D,8086Y,6,20164X,12A,25
28886,1575B,80708X,18,6603T,12R,7
28887,6603F,154B,20,12P,2068F,11
28888,4303B,20164T,13,12G,2068G,14
28889,12N,4303D,5,56736C,20164W,25
28890,2068A,4061K,8,154D,20164U,9
28891,20109A,1575V,13,1575H,12J,9
28892,6603X,4303C,15,2068D,6603A,14
28893,8450C,2068C,6,4303E,12E,24
28894,4061A,154A,23,6603E,8450A,3
28895,2068B,8086X,1,1575A,4303A,27
28896,1575U,4303X,18,6603H,4061B,5
28897,80708X,20164U,21,20109B,20164Z,11
28898,56736C,6603F,20,2068A,6603A,13
28899,2068D,12J,14,4061K,12P,10
28900,6603X,8450A,16,154B,6603D,12
28901,1575V,1575A,26,12N,20164T,6
28902,20164X,12R,15,4303X,20109A,8
28903,6603T,2068G,10,6603H,154D,9
28904,6603E,2068B,7,12G,8086Y,17
28905,20164W,1575B,24,2068C,20109B,5
28906,4061B,4303C,28,4303D,8450C,3
28907,2068F,12A,2,154A,8086X,25
28908,12E,4061A,18,1575U,20164Z,8
28909,4303A,4303E,8,1575H,4303B,17
28910,8450A,6603F,9,2068D,20109A,2
28911,20164U,154B,17,1575V,12R,12
28912,12P,2068G,4,80708X,1575A,25
28913,154A,20164X,22,1575B,2068A,15
28914,20164W,6603T,22,8086Y,20164T,4
28915,4303B,154D,11,12E,2068F,21
28916,6603E,56736C,18,4303A,4303C,20
28917,4061K,12A,17,4303D,1575U,16
28918,6603A,12J,15,8450C,6603H,9
28919,4061B,6603X,14,2068B,12N,13
28920,6603D,20164Z,10,2068C,8086X,20
28921,20109B,12G,19,4061A,4303E,14
28922,20164T,1575H,14,154B,4303X,13
28923,12E,6603F,11,4303C,20164W,22
28924,8450A,1575B,5,56736C,20164U,25
28925,20109A,4303D,8,6603T,4303A,22
28926,8450C,4303B,11,20164Z,6603E,18
28927,12N,8086X,9,80708X,20164X,25
28928,1575H,12R,10,154A,2068B,21
28929,6603D,4303X,7,12J,20109B,17
28930,2068D,4303E,6,12A,6603H,21
28931,1575V,2068C,11,4061K,2068G,22
28932,8086Y,12P,14,6603X,4061A,16
28933,2068F,2068A,11,1575A,4061B,14
28934,1575U,154D,15,6603A,12G,14
28935,8086Y,4303D,1,80708X,4303C,32
28936,6603F,6603A,12,154B,20164T,9
28937,2068G,4303B,6,12E,12G,27
28938,4061K,2068A,9,4061A,4303A,23
28939,1575U,20164Z,4,20164W,12A,21
28940,8086X,4303X,12,6603X,12J,21
28941,20164U,2068B,7,20164X,56736C,29
28942,1575A,1575B,11,154A,1575V,24
28943,6603F,6603A,1,80708X,4303C,33
28944,4061A,4303A,4,12E,12G,29
28945,6603X,12J,13,20164W,12A,20
28946,154A,1575V,3,20164X,56736C,33
28947,12E,12G,11,80708X,4303C,15
28948,20164X,56736C,7,20164W,12A,20
28949,20164W,12A,15,80708X,4303C,17
28950,241F,4886T,18,30048A,5106E,5
28951,603B,134B,7,4886C,5106A,18
28952,85303A,85303B,14,603D,134A,7
28953,5106C,3773U,18,134E,134C,11
28954,40A,134M,17,241C,30048X,11
28955,241A,40B,13,8232Y,40X,21
28956,603H,603A,5,134K,603F,15
28957,241E,5106Z,13,4886B,241D,18
28958,9605A,3773F,25,30048B,134J,18
28959,134G,603C,27,134F,241B,10
28960,603B,241F,7,241A,85303A,13
28961,603F,4886C,8,4886T,134M,22
28962,30048A,40X,8,603A,5106Z,20
28963,8232Y,134A,12,9605A,5106E,23
28964,134C,241C,24,85303B,603C,4
28965,603D,241B,15,40A,134B,12
28966,30048B,134K,9,4886B,30048X,12
28967,241D,134J,13,5106C,5106A,17
28968,40B,134F,17,3773U,3773F,21
28969,134E,603H,7,241E,134G,19
28970,134C,40A,6,9605A,603B,23
28971,241C,241B,2,4886T,85303A,28
28972,4886B,5106A,8,603F,241A,15
28973,603C,30048X,5,4886C,134A,22
28974,241E,3773F,15,241F,603D,2
28975,8232Y,134F,21,134E,603A,11
28976,30048A,134B,6,5106C,134G,31
28977,5106E,134K,10,241D,40X,23
28978,30048B,3773U,17,603H,5106Z,12
28979,85303B,134M,6,40B,134J,30
28980,134A,603A,24,241B,241F,8
28981,134E,85303A,15,603C,4886B,17
28982,4886T,40X,10,134C,5106A,23
28983,241A,5106Z,4,5106C,9605A,32
28984,3773F,134B,15,603H,85303B,4
28985,603D,30048X,1,3773U,603F,28
28986,603B,40B,23,134K,30048A,12
28987,40A,5106E,13,241E,134F,15
28988,134G,241D,26,30048B,134M,8
28989,134J,4886C,19,8232Y,241C,14
28990,603F,241B,15,85303B,134E,12
28991,4886B,241F,16,40X,134B,13
28992,5106C,30048X,8,4886T,40B,17
28993,603D,241D,24,603B,603H,12
28994,134A,134F,20,241C,30048B,8
28995,134M,5106A,12,241E,8232Y,19
28996,134G,134C,30,85303A,5106E,2
28997,4886C,30048A,18,3773F,241A,5
28998,603C,9605A,21,3773U,603A,22
28999,5106Z,134K,6,40A,134J,14
29000,603H,4886B,14,134M,134F,8
29001,30048X,134B,6,134C,241D,32
29002,5106C,40X,21,241B,3773F,10
29003,9605A,134E,36,241F,241C,1
29004,134J,5106E,20,603B,603C,13
29005,5106A,134G,24,134A,134K,7
29006,3773U,241A,21,85303B,241E,2
29007,603F,85303A,13,30048A,40A,9
29008,4886T,8232Y,18,603D,5106Z,9
29009,30048B,603A,15,4886C,40B,16
29010,134M,241F,7,134G,9605A,34
29011,5106A,5106Z,15,134C,241C,19
29012,134F,241A,7,241D,241B,15
29013,603A,134A,12,4886T,40B,22
29014,603B,134B,13,3773U,134J,18
29015,241E,3773F,20,603F,5106E,12
29016,603C,603D,3,4886B,4886C,24
29017,85303A,40X,5,5106C,8232Y,22
29018,134C,241C,3,134G,9605A,25
29019,4886T,40B,8,241D,241B,19
29020,241E,3773F,7,3773U,134J,30
29021,5106C,8232Y,24,4886B,4886C,13
29022,241D,241B,2,134G,9605A,32
29023,5106C,8232Y,12,3773U,134J,22
29024,3773U,134J,12,134G,9605A,22
29025,2131P,2131K,33,2131R,4691A,0
29026,8869S,185B,3,2131S,2131V,36
29027,3862B,138H,3,7514A,4184B,20
29028,25728A,9696A,26,185R,3862A,5
29029,2131Z,8869J,9,98548B,4691C,18
29030,72832C,10099J,20,4270C,2323S,12
29031,185A,4184C,21,98548A,710A,6
29032,710B,98548C,7,9696G,2131M,30
29033,4691A,3862B,4,185B,25728A,25
29034,138H,4270C,13,2131K,8869J,17
29035,4691C,2131S,14,9696A,185A,16
29036,710A,2131V,10,72832C,98548C,11
29037,2131M,98548B,11,8869S,7514A,16
29038,2323S,185R,7,710B,4184C,11
29039,98548A,2131R,7,2131Z,10099J,29
29040,3862A,4184B,3,2131P,9696G,27
29041,98548C,9696A,9,98548B,4691A,16
29042,710B,8869J,11,3862B,2131V,22
29043,185A,2131M,25,185R,2131K,8
29044,7514A,4270C,1,98548A,2131P,35
29045,9696G,2131R,15,72832C,25728A,17
29046,4184B,8869S,23,10099J,710A,10
29047,185B,2323S,17,138H,4691C,12
29048,4184C,3862A,9,2131S,2131Z,25
29049,185R,98548A,12,98548B,72832C,16
29050,7514A,10099J,12,2131V,9696A,24
29051,25728A,4691C,9,4270C,2131M,26
29052,2131Z,710B,12,185A,138H,15
29053,2131S,4691A,10,4184B,2323S,21
29054,3862B,98548C,5,2131R,3862A,28
29055,710A,2131K,21,185B,9696G,4
29056,2131P,8869J,22,4184C,8869S,12
29057,98548A,138H,6,25728A,2131S,29
29058,4691A,2131V,15,4270C,2131Z,14
29059,2323S,710A,9,9696A,2131M,27
29060,98548B,2131K,14,4184C,4184B,14
29061,185R,2131P,31,98548C,4691C,0
29062,72832C,8869S,28,710B,3862A,6
29063,185B,2131R,25,7514A,8869J,0
29064,9696G,10099J,12,3862B,185A,15
29065,25728A,2131Z,31,98548C,4184B,8
29066,4270C,2131S,18,185R,710A,6
29067,138H,9696A,6,2131R,8869S,24
29068,72832C,2131M,11,2131P,3862B,14
29069,2131V,4691C,13,2131K,98548A,17
29070,7514A,4184C,24,4691A,9696G,4
29071,98548B,710B,15,10099J,185B,18
29072,3862A,185A,25,8869J,2323S,1
29073,2131Z,8869S,11,2131K,3862B,23
29074,2131V,9696G,28,138H,185R,8
29075,710A,7514A,12,710B,4691C,11
29076,25728A,2131P,30,2323S,98548B,5
29077,4184B,2131R,20,185A,4270C,10
29078,9696A,185B,8,4184C,72832C,17
29079,4691A,2131M,27,3862A,98548A,7
29080,8869J,10099J,18,98548C,2131S,13
29081,7514A,9696G,14,185B,2131R,12
29082,4691A,4270C,15,2131K,2131Z,21
29083,9696A,98548B,9,4184C,4184B,15
29084,3862B,3862A,8,2131V,10099J,31
29085,7514A,9696G,3,2131P,2131S,31
29086,2131K,2131Z,7,185A,2131M,26
29087,4184C,4184B,16,25728A,185R,17
29088,2131V,10099J,17,72832C,8869S,17
29089,2131V,10099J,24,72832C,8869S,13
29090,185A,2131M,20,2131P,2131S,16
29091,2131V,10099J,31,25728A,185R,8
29092,2131V,10099J,7,185A,2131M,22
29093,7580E,6934B,14,51A,7580C,14
29094,7580F,2337C,12,51B,7580J,13
29095,39V,6133A,17,33T,10930E,8
29096,2337B,2337A,9,244E,248B,28
29097,3333A,7580G,8,6133B,3333Z,19
29098,38G,33B,24,33K,33F,9
29099,39Z,51C,6,39J,6934A,30
29100,288D,77712A,23,33A,244A,12
29101,77712B,6133D,12,248F,248C,24
29102,6133C,3333B,5,33J,2337D,13
29103,33K,7580J,8,6133A,3333Z,16
29104,33B,33T,17,6934B,3333A,7
29105,244A,39J,29,2337C,39V,7
29106,33A,51A,11,77712B,39Z,23
29107,6133B,6934A,8,2337B,6133D,19
29108,10930E,33J,19,2337A,7580C,18
29109,2337D,33F,17,7580E,248B,14
29110,248C,244E,6,77712A,3333B,26
29111,51C,7580F,5,7580G,288D,27
29112,248F,51B,21,6133C,38G,11
29113,33K,2337A,13,2337C,33A,19
29114,33J,39V,27,33F,6133D,5
29115,3333Z,39J,23,10930E,3333B,7
29116,51A,244E,9,288D,3333A,27
29117,6934B,2337D,13,38G,6133B,11
29118,77712B,6133A,16,6934A,244A,16
29119,248F,2337B,32,33B,7580F,10
29120,51B,7580E,17,7580G,77712A,12
29121,248B,7580C,20,51C,248C,15
29122,33T,6133C,14,39Z,7580J,12
29123,38G,3333B,17,6934A,288D,15
29124,33F,10930E,21,2337B,6934B,8
29125,33B,39J,23,51B,51A,7
29126,51C,248F,12,2337D,2337A,8
29127,7580J,77712B,11,244E,7580E,28
29128,6133B,248B,14,33T,33A,9
29129,77712A,3333A,13,6133A,6133C,15
29130,7580C,39V,14,33K,7580F,19
29131,3333Z,244A,15,6133D,39Z,14
29132,2337C,248C,18,33J,7580G,12
29133,6934A,33A,17,51B,6934B,11
29134,3333B,6133A,11,33B,6133B,8
29135,2337B,3333A,10,7580C,7580J,17
29136,6133D,7580E,9,33T,2337A,14
29137,33J,38G,18,51C,244A,15
29138,77712A,3333Z,10,39V,248B,19
29139,7580G,244E,16,39J,33F,13
29140,288D,39Z,16,33K,248F,23
29141,2337D,2337C,28,77712B,10930E,4
29142,51A,7580F,6,248C,6133C,25
29143,248B,6934A,12,33B,33J,17
29144,244A,33T,15,244E,51B,17
29145,33F,7580C,24,39Z,6133A,12
29146,3333B,3333A,9,39V,248F,30
29147,10930E,33A,13,7580E,7580F,9
29148,6133C,6934B,17,3333Z,51C,8
29149,33K,7580G,11,77712B,2337B,22
29150,77712A,6133D,8,38G,2337C,30
29151,6133B,7580J,17,2337A,51A,12
29152,288D,248C,4,2337D,39J,19
29153,244E,39V,20,51C,33B,11
29154,6133C,7580G,9,7580C,244A,18
29155,2337C,2337B,22,3333B,33T,6
29156,33K,51A,20,77712A,6934A,10
29157,51B,39Z,15,6133B,10930E,19
29158,248C,7580E,10,3333Z,38G,15
29159,248B,6934B,23,6133A,7580F,10
29160,33A,2337D,15,6133D,3333A,13
29161,2337A,77712B,15,288D,33F,18
29162,39J,33J,20,248F,7580J,12
29163,38G,39Z,25,7580G,39V,8
29164,6133B,7580E,7,6133C,2337C,18
29165,7580C,3333Z,11,2337D,244E,28
29166,51B,51C,3,33K,3333B,28
29167,6133A,2337B,12,33A,33J,18
29168,10930E,248F,11,248B,51A,17
29169,33T,77712B,19,77712A,39J,18
29170,33B,244A,6,248C,2337A,13
29171,7580F,6934A,6,33F,3333A,16
29172,6133D,7580J,19,288D,6934B,18
29173,6934A,51A,3,248F,248B,33
29174,6133C,288D,14,7580J,7580C,15
29175,10930E,6133B,4,38G,39J,29
29176,39V,33K,19,244E,244A,9
29177,77712B,3333A,12,2337D,2337C,15
29178,6133A,33T,8,33F,3333Z,22
29179,51B,6934B,2,33J,2337B,33
29180,248C,33B,12,33A,3333B,22
29181,7580J,7580C,7,248F,248B,29
29182,39V,33K,6,38G,39J,22
29183,33F,3333Z,6,2337D,2337C,0
29184,33A,3333B,29,33J,2337B,5
29185,38G,39J,16,248F,248B,16
29186,38G,39J,18,248F,248B,17
29187,33A,3333B,19,33F,3333Z,7
29188,33A,3333B,13,38G,39J,16
29189,2587G,98126B,8,285X,70052V,21
29190,98126A,3674R,2,285Z,8332A,28
29191,1429B,2585V,22,2587K,55378U,15
29192,1429A,8332D,11,8332C,3674N,19
29193,1765D,3532B,19,8332B,9560A,5
29194,285A,1429B,26,1765A,77053A,7
29195,3674N,2587G,10,2585V,3532B,19
29196,9560A,285A,11,98126A,8332D,12
29197,8332A,8332B,33,98126B,70052V,5
29198,285X,285Z,21,1429A,55378U,10
29199,77053A,2587K,3,3674R,8332C,32
29200,3674N,55378U,16,1765D,1765A,8
29201,1429A,98126B,4,1429B,3532B,31
29202,8332C,70052V,26,1765A,9560A,5
29203,8332A,1765D,5,285Z,2587K,20
29204,98126A,77053A,2,2585V,285X,28
29205,8332B,3674R,16,285A,2587G,20
29206,70052V,98126A,13,8332D,1765D,10
29207,55378U,3674R,26,1429A,8332B,12
29208,285X,8332C,13,1429B,2587G,21
29209,2587K,285A,15,3674N,98126B,5
29210,1765A,2585V,8,285Z,9560A,23
29211,3532B,8332D,25,8332A,77053A,10
29212,8332B,1429B,20,98126A,2585V,5
29213,8332A,2587K,23,55378U,8332C,7
29214,1765D,3532B,11,3674R,285X,23
29215,285Z,3674N,27,285A,70052V,6
29216,9560A,1429A,28,98126B,77053A,8
29217,1765A,8332A,26,2587G,8332D,1
29218,98126A,98126B,6,8332B,1429A,19
29219,1765D,1765A,9,2587G,9560A,10
29220,8332B,1429A,5,1429B,3674R,34
29221,8332C,2587K,12,285A,2585V,22
29222,2587G,9560A,11,285Z,285X,22
29223,70052V,3674N,4,3532B,8332A,33
29224,285A,2585V,15,1429B,3674R,17
29225,3532B,8332A,15,285Z,285X,20
29226,285Z,285X,5,1429B,3674R,23
29227,75679C,4862C,21,4862G,40999C,6
29228,4862F,2381X,5,30367J,15376A,19
29229,4783A,4862E,3,89043A,75679A,24
29230,2381C,4783B,11,4862D,75679D,7
29231,40999A,40999B,0,4862B,75679B,34
29232,15376A,4862C,9,20315C,15376B,12
29233,40999A,30367J,4,89043A,40999C,21
29234,4862A,2381X,11,2381C,75679C,9
29235,20315D,4862D,2,75679A,4862C,28
29236,40999B,75679D,11,75679B,15376B,13
29237,75679F,20315C,13,4862F,4862E,9
29238,4862B,4783B,28,75679E,4783A,2
29239,75679D,2381X,14,4862G,15376A,6
29240,89043A,4862C,19,75679B,4862D,4
29241,75679C,4862E,3,75679A,4783B,29
29242,15376B,15376A,11,20315C,30367J,21
29243,4862F,4783A,8,4862G,75679E,8
29244,40999C,2381C,2,20315D,4862B,30
29245,75679F,40999B,17,4862A,40999A,7
29246,4783B,15376B,8,2381X,4862F,15
29247,4862E,4862D,6,30367J,4862B,24
29248,75679A,2381C,15,4783A,40999B,7
29249,75679E,20315D,12,15376A,75679F,20
29250,4862C,75679C,11,40999A,75679D,7
29251,75679B,4862G,13,40999C,20315C,5
29252,15376B,4783B,4,4862A,89043A,24
29253,40999A,75679E,10,4862D,2381C,15
29254,30367J,4862F,12,40999B,20315D,15
29255,20315C,4862B,17,4862C,2381X,7
29256,89043A,75679A,19,75679F,4862G,2
29257,40999C,4862A,19,75679D,4862E,13
29258,15376A,75679B,13,4783A,75679C,9
29259,40999A,4862G,5,20315D,15376B,11
29260,75679D,4862F,12,2381C,89043A,19
29261,40999B,15376A,9,4862B,4862E,16
29262,4783A,4862A,15,20315C,4862D,13
29263,40999C,4862C,16,4783B,75679F,7
29264,2381X,75679A,22,30367J,75679B,7
29265,20315C,40999B,9,75679E,75679C,22
29266,4862E,2381C,12,15376B,4862C,19
29267,4862B,4862G,21,75679A,4862A,17
29268,75679B,15376A,12,40999A,4783B,9
29269,75679C,4862D,26,4862F,40999C,4
29270,75679F,4783A,12,75679D,30367J,13
29271,75679E,20315D,3,2381X,89043A,22
29272,4783B,4862G,6,40999B,4862D,9
29273,40999A,4862F,3,15376A,75679A,29
29274,4862C,30367J,20,4862A,75679E,7
29275,4862E,89043A,15,4783A,20315D,4
29276,75679B,75679F,19,2381C,20315C,11
29277,75679D,75679C,10,15376B,4862B,16
29278,4783A,40999A,7,40999C,2381X,17
29279,2381C,40999B,15,4862D,4862G,20
29280,4862F,40999A,6,4862C,4862A,24
29281,4783B,4783A,6,15376B,20315C,16
29282,20315D,4862E,14,30367J,40999C,9
29283,75679D,75679E,4,75679F,75679C,22
29284,4862D,4862G,0,4862B,2381X,33
29285,15376B,20315C,16,4862C,4862A,0
29286,20315D,4862E,5,89043A,15376A,23
29287,75679F,75679C,18,75679A,75679B,11
29288,15376B,20315C,2,4862B,2381X,30
29289,75679F,75679C,15,89043A,15376A,6
29290,75679F,75679C,16,4862B,2381X,20
29291,9932D,9932A,10,11570B,5059B,11
29292,1312A,11577R,10,1353A,1808D,16
29293,9932B,1312B,1,11570A,99588B,34
29294,16099A,66640B,22,1353C,99588A,14
29295,9932E,8880A,25,1312C,16099B,10
29296,9575A,11570A,11,66640A,9932C,18
29297,11570B,66640B,13,11577R,9932E,10
29298,66640A,5059B,18,8880A,9932B,5
29299,16099B,1353A,20,9932D,1312B,10
29300,1808D,9932C,3,1312A,1353C,25
29301,99588A,99588B,20,9575A,9932A,21
29302,1312A,9932B,4,16099A,1312C,27
29303,9932E,1353A,22,9932C,9932A,13
29304,1312B,1808D,1,99588A,5059B,32
29305,9932D,8880A,6,66640A,99588B,20
29306,11570A,1312C,4,16099B,16099A,25
29307,9575A,1353C,20,11570B,11577R,6
29308,66640A,1353A,6,66640B,1312B,21
29309,99588A,11577R,12,16099B,5059B,18
29310,9932C,16099A,31,8880A,9932A,4
29311,1353C,99588B,22,1312A,9932E,16
29312,9932D,11570A,7,66640B,1808D,19
29313,11570B,1312C,8,9575A,9932B,16
29314,5059B,1312B,2,9932E,1312A,25
29315,16099B,9932B,15,66640B,1353C,17
29316,99588B,1312C,15,1353A,9575A,10
29317,11570B,8880A,8,16099A,1808D,19
29318,11577R,9932A,8,11570A,66640A,24
29319,9932C,1312C,2,9932D,99588A,25
29320,1353C,9932A,20,1312B,8880A,10
29321,5059B,66640B,30,9932C,99588B,9
29322,1353A,99588A,27,11570A,11570B,11
29323,16099A,1808D,14,9932E,66640A,20
29324,16099B,9575A,13,9932D,1312A,8
29325,9932C,1312B,14,11577R,9932B,13
29326,9932E,8880A,21,9575A,66640B,19
29327,9932D,99588B,11,11577R,16099A,10
29328,9932A,16099B,36,1808D,9932B,0
29329,1312A,66640A,11,99588A,11570B,23
29330,11570A,1353C,9,1353A,5059B,10
29331,66640B,1808D,20,1312C,9932A,3
29332,1312A,11577R,15,11570A,8880A,12
29333,1312B,66640A,12,1353C,1312C,16
29334,99588A,9932E,29,9932D,9932B,10
29335,99588B,11570B,5,9932C,16099B,24
29336,5059B,16099A,25,1353A,9575A,3
29337,9932A,9932D,8,66640B,16099B,23
29338,99588B,1353A,20,9932E,99588A,10
29339,1808D,11570A,13,5059B,66640A,19
29340,9575A,9932C,3,16099A,1353C,30
29341,99588B,1353A,15,66640B,16099B,17
29342,16099A,1353C,33,5059B,66640A,6
29343,16099A,1353C,23,66640B,16099B,7
29344,8337A,5090Z,20,2128A,85367Y,16
29345,8235S,3455H,15,3455Z,85367Z,14
29346,8373M,2128B,10,60946A,52351A,6
29347,10111Z,8235G,18,3455A,8373P,15
29348,10111Y,8337B,11,4461A,60946B,12
29349,8235A,8235S,25,8373H,4461B,1
29350,3455H,8337A,14,8337B,2128B,9
29351,3455A,4461B,15,8235G,4461A,17
29352,8373H,60946B,4,8235A,5090Z,21
29353,8373P,2128A,5,52351A,3455Z,30
29354,85367Z,10111Z,6,8373M,10111Y,17
29355,8235G,8373H,11,85367Y,60946A,13
29356,3455A,60946B,6,2128A,85367Z,24
29357,8337B,8373M,15,8235S,8373P,11
29358,4461A,52351A,29,8337A,8235A,6
29359,85367Y,3455Z,25,4461B,10111Y,5
29360,60946A,5090Z,20,3455H,10111Z,6
29361,2128A,10111Y,13,2128B,8235S,19
29362,8235A,85367Z,11,3455H,8235G,12
29363,4461A,8373P,10,8373M,5090Z,25
29364,2128B,60946A,15,60946B,3455Z,11
29365,52351A,85367Y,17,3455A,8337B,4
29366,4461B,10111Z,10,8337A,8373H,17
29367,10111Y,60946A,11,3455A,8235A,23
29368,4461A,2128B,8,8373H,85367Z,14
29369,3455Z,5090Z,27,8235G,8337B,9
29370,2128A,8373M,20,4461B,3455H,9
29371,60946B,52351A,17,10111Z,8235S,7
29372,85367Y,85367Z,19,8373P,8337A,13
29373,2128A,3455Z,16,4461A,10111Z,14
29374,8235G,8337A,12,60946B,8373M,14
29375,4461B,8337B,11,60946A,8373P,7
29376,3455A,8235S,8,5090Z,2128B,24
29377,3455H,8373H,7,52351A,10111Y,21
29378,2128B,8373P,5,85367Y,8235A,25
29379,10111Y,8337B,16,8235S,60946A,15
29380,8373H,8373P,8,4461A,3455H,19
29381,10111Y,8337B,12,8373M,52351A,25
29382,2128B,8337A,13,3455Z,2128A,19
29383,4461A,3455H,13,5090Z,8235A,23
29384,85367Z,60946B,3,85367Y,8235G,33
29385,3455Z,2128A,14,8373M,52351A,21
29386,85367Y,8235G,19,5090Z,8235A,16
29387,85367Y,8235G,13,8373M,52351A,19
29388,98789A,91A,28,255E,91W,5
